survived,pclass,sex,age,sibsp,parch,fare,adult_male,alone,embarked_Q,embarked_S,who_man,who_woman,class_Second,class_Third
0,3,1,22,1,0,7.25,True,False,False,True,True,False,False,True
1,1,0,38,1,0,71.2833,False,False,False,False,False,True,False,False
1,3,0,26,0,0,7.925,False,True,False,True,False,True,False,True
1,1,0,35,1,0,53.1,False,False,False,True,False,True,False,False
0,3,1,35,0,0,8.05,True,True,False,True,True,False,False,True
0,3,1,28,0,0,8.4583,True,True,True,False,True,False,False,True
0,1,1,54,0,0,51.8625,True,True,False,True,True,False,False,False
0,3,1,2,3,1,21.075,False,False,False,True,False,False,False,True
1,3,0,27,0,2,11.1333,False,False,False,True,False,True,False,True
1,2,0,14,1,0,30.0708,False,False,False,False,False,False,True,False
1,3,0,4,1,1,16.7,False,False,False,True,False,False,False,True
1,1,0,58,0,0,26.55,False,True,False,True,False,True,False,False
0,3,1,20,0,0,8.05,True,True,False,True,True,False,False,True
0,3,1,39,1,5,31.275,True,False,False,True,True,False,False,True
0,3,0,14,0,0,7.8542,False,True,False,True,False,False,False,True
1,2,0,55,0,0,16.0,False,True,False,True,False,True,True,False
0,3,1,2,4,1,29.125,False,False,True,False,False,False,False,True
1,2,1,28,0,0,13.0,True,True,False,True,True,False,True,False
0,3,0,31,1,0,18.0,False,False,False,True,False,True,False,True
1,3,0,28,0,0,7.225,False,True,False,False,False,True,False,True
0,2,1,35,0,0,26.0,True,True,False,True,True,False,True,False
1,2,1,34,0,0,13.0,True,True,False,True,True,False,True,False
1,3,0,15,0,0,8.0292,False,True,True,False,False,False,False,True
1,1,1,28,0,0,35.5,True,True,False,True,True,False,False,False
0,3,0,8,3,1,21.075,False,False,False,True,False,False,False,True
1,3,0,38,1,5,31.3875,False,False,False,True,False,True,False,True
0,3,1,28,0,0,7.225,True,True,False,False,True,False,False,True
0,1,1,19,3,2,263.0,True,False,False,True,True,False,False,False
1,3,0,28,0,0,7.8792,False,True,True,False,False,True,False,True
0,3,1,28,0,0,7.8958,True,True,False,True,True,False,False,True
0,1,1,40,0,0,27.7208,True,True,False,False,True,False,False,False
1,1,0,28,1,0,146.5208,False,False,False,False,False,True,False,False
1,3,0,28,0,0,7.75,False,True,True,False,False,True,False,True
0,2,1,66,0,0,10.5,True,True,False,True,True,False,True,False
0,1,1,28,1,0,82.1708,True,False,False,False,True,False,False,False
0,1,1,42,1,0,52.0,True,False,False,True,True,False,False,False
1,3,1,28,0,0,7.2292,True,True,False,False,True,False,False,True
0,3,1,21,0,0,8.05,True,True,False,True,True,False,False,True
0,3,0,18,2,0,18.0,False,False,False,True,False,True,False,True
1,3,0,14,1,0,11.2417,False,False,False,False,False,False,False,True
0,3,0,40,1,0,9.475,False,False,False,True,False,True,False,True
0,2,0,27,1,0,21.0,False,False,False,True,False,True,True,False
0,3,1,28,0,0,7.8958,True,True,False,False,True,False,False,True
1,2,0,3,1,2,41.5792,False,False,False,False,False,False,True,False
1,3,0,19,0,0,7.8792,False,True,True,False,False,True,False,True
0,3,1,28,0,0,8.05,True,True,False,True,True,False,False,True
0,3,1,28,1,0,15.5,True,False,True,False,True,False,False,True
1,3,0,28,0,0,7.75,False,True,True,False,False,True,False,True
0,3,1,28,2,0,21.6792,True,False,False,False,True,False,False,True
0,3,0,18,1,0,17.8,False,False,False,True,False,True,False,True
0,3,1,7,4,1,39.6875,False,False,False,True,False,False,False,True
0,3,1,21,0,0,7.8,True,True,False,True,True,False,False,True
1,1,0,49,1,0,76.7292,False,False,False,False,False,True,False,False
1,2,0,29,1,0,26.0,False,False,False,True,False,True,True,False
0,1,1,65,0,1,61.9792,True,False,False,False,True,False,False,False
1,1,1,28,0,0,35.5,True,True,False,True,True,False,False,False
1,2,0,21,0,0,10.5,False,True,False,True,False,True,True,False
0,3,1,28,0,0,7.2292,True,True,False,False,True,False,False,True
1,2,0,5,1,2,27.75,False,False,False,True,False,False,True,False
0,3,1,11,5,2,46.9,False,False,False,True,False,False,False,True
0,3,1,22,0,0,7.2292,True,True,False,False,True,False,False,True
1,1,0,38,0,0,80.0,False,True,False,True,False,True,False,False
0,1,1,45,1,0,83.475,True,False,False,True,True,False,False,False
0,3,1,4,3,2,27.9,False,False,False,True,False,False,False,True
0,1,1,28,0,0,27.7208,True,True,False,False,True,False,False,False
1,3,1,28,1,1,15.2458,True,False,False,False,True,False,False,True
1,2,0,29,0,0,10.5,False,True,False,True,False,True,True,False
0,3,1,19,0,0,8.1583,True,True,False,True,True,False,False,True
1,3,0,17,4,2,7.925,False,False,False,True,False,True,False,True
0,3,1,26,2,0,8.6625,True,False,False,True,True,False,False,True
0,2,1,32,0,0,10.5,True,True,False,True,True,False,True,False
0,3,0,16,5,2,46.9,False,False,False,True,False,True,False,True
0,2,1,21,0,0,73.5,True,True,False,True,True,False,True,False
0,3,1,26,1,0,14.4542,True,False,False,False,True,False,False,True
1,3,1,32,0,0,56.4958,True,True,False,True,True,False,False,True
0,3,1,25,0,0,7.65,True,True,False,True,True,False,False,True
0,3,1,28,0,0,7.8958,True,True,False,True,True,False,False,True
0,3,1,28,0,0,8.05,True,True,False,True,True,False,False,True
1,2,1,0,0,2,29.0,False,False,False,True,False,False,True,False
1,3,0,30,0,0,12.475,False,True,False,True,False,True,False,True
0,3,1,22,0,0,9.0,True,True,False,True,True,False,False,True
1,3,1,29,0,0,9.5,True,True,False,True,True,False,False,True
1,3,0,28,0,0,7.7875,False,True,True,False,False,True,False,True
0,1,1,28,0,0,47.1,True,True,False,True,True,False,False,False
1,2,0,17,0,0,10.5,False,True,False,True,False,True,True,False
1,3,0,33,3,0,15.85,False,False,False,True,False,True,False,True
0,3,1,16,1,3,34.375,True,False,False,True,True,False,False,True
0,3,1,28,0,0,8.05,True,True,False,True,True,False,False,True
1,1,0,23,3,2,263.0,False,False,False,True,False,True,False,False
0,3,1,24,0,0,8.05,True,True,False,True,True,False,False,True
0,3,1,29,0,0,8.05,True,True,False,True,True,False,False,True
0,3,1,20,0,0,7.8542,True,True,False,True,True,False,False,True
0,1,1,46,1,0,61.175,True,False,False,True,True,False,False,False
0,3,1,26,1,2,20.575,True,False,False,True,True,False,False,True
0,3,1,59,0,0,7.25,True,True,False,True,True,False,False,True
0,3,1,28,0,0,8.05,True,True,False,True,True,False,False,True
0,1,1,71,0,0,34.6542,True,True,False,False,True,False,False,False
1,1,1,23,0,1,63.3583,True,False,False,False,True,False,False,False
1,2,0,34,0,1,23.0,False,False,False,True,False,True,True,False
0,2,1,34,1,0,26.0,True,False,False,True,True,False,True,False
0,3,0,28,0,0,7.8958,False,True,False,True,False,True,False,True
0,3,1,28,0,0,7.8958,True,True,False,True,True,False,False,True
0,1,1,21,0,1,77.2875,True,False,False,True,True,False,False,False
0,3,1,33,0,0,8.6542,True,True,False,True,True,False,False,True
0,3,1,37,2,0,7.925,True,False,False,True,True,False,False,True
0,3,1,28,0,0,7.8958,True,True,False,True,True,False,False,True
1,3,0,21,0,0,7.65,False,True,False,True,False,True,False,True
1,3,1,28,0,0,7.775,True,True,False,True,True,False,False,True
0,3,1,38,0,0,7.8958,True,True,False,True,True,False,False,True
1,3,0,28,1,0,24.15,False,False,True,False,False,True,False,True
0,1,1,47,0,0,52.0,True,True,False,True,True,False,False,False
0,3,0,14,1,0,14.4542,False,False,False,False,False,False,False,True
0,3,1,22,0,0,8.05,True,True,False,True,True,False,False,True
0,3,0,20,1,0,9.825,False,False,False,True,False,True,False,True
0,3,0,17,0,0,14.4583,False,True,False,False,False,True,False,True
0,3,1,21,0,0,7.925,True,True,False,True,True,False,False,True
0,3,1,70,0,0,7.75,True,True,True,False,True,False,False,True
0,2,1,29,1,0,21.0,True,False,False,True,True,False,True,False
0,1,1,24,0,1,247.5208,True,False,False,False,True,False,False,False
0,3,0,2,4,2,31.275,False,False,False,True,False,False,False,True
0,2,1,21,2,0,73.5,True,False,False,True,True,False,True,False
0,3,1,28,0,0,8.05,True,True,False,True,True,False,False,True
0,2,1,32,1,0,30.0708,True,False,False,False,True,False,True,False
1,2,0,32,0,0,13.0,False,True,False,True,False,True,True,False
0,1,1,54,0,1,77.2875,True,False,False,True,True,False,False,False
1,3,1,12,1,0,11.2417,False,False,False,False,False,False,False,True
0,3,1,28,0,0,7.75,True,True,True,False,True,False,False,True
1,3,1,24,0,0,7.1417,True,True,False,True,True,False,False,True
1,3,0,28,1,1,22.3583,False,False,False,False,False,True,False,True
0,3,1,45,0,0,6.975,True,True,False,True,True,False,False,True
0,3,1,33,0,0,7.8958,True,True,False,False,True,False,False,True
0,3,1,20,0,0,7.05,True,True,False,True,True,False,False,True
0,3,0,47,1,0,14.5,False,False,False,True,False,True,False,True
1,2,0,29,1,0,26.0,False,False,False,True,False,True,True,False
0,2,1,25,0,0,13.0,True,True,False,True,True,False,True,False
0,2,1,23,0,0,15.0458,True,True,False,False,True,False,True,False
1,1,0,19,0,2,26.2833,False,False,False,True,False,True,False,False
0,1,1,37,1,0,53.1,True,False,False,True,True,False,False,False
0,3,1,16,0,0,9.2167,True,True,False,True,True,False,False,True
0,1,1,24,0,0,79.2,True,True,False,False,True,False,False,False
0,3,0,28,0,2,15.2458,False,False,False,False,False,True,False,True
1,3,0,22,0,0,7.75,False,True,False,True,False,True,False,True
1,3,0,24,1,0,15.85,False,False,False,True,False,True,False,True
0,3,1,19,0,0,6.75,True,True,True,False,True,False,False,True
0,2,1,18,0,0,11.5,True,True,False,True,True,False,True,False
0,2,1,19,1,1,36.75,True,False,False,True,True,False,True,False
1,3,1,27,0,0,7.7958,True,True,False,True,True,False,False,True
0,3,0,9,2,2,34.375,False,False,False,True,False,False,False,True
0,2,1,36,0,2,26.0,True,False,False,True,True,False,True,False
0,2,1,42,0,0,13.0,True,True,False,True,True,False,True,False
0,2,1,51,0,0,12.525,True,True,False,True,True,False,True,False
1,1,0,22,1,0,66.6,False,False,False,True,False,True,False,False
0,3,1,55,0,0,8.05,True,True,False,True,True,False,False,True
0,3,1,40,0,2,14.5,True,False,False,True,True,False,False,True
0,3,1,28,0,0,7.3125,True,True,False,True,True,False,False,True
0,1,1,51,0,1,61.3792,True,False,False,False,True,False,False,False
1,3,0,16,0,0,7.7333,False,True,True,False,False,True,False,True
0,3,1,30,0,0,8.05,True,True,False,True,True,False,False,True
0,3,1,28,0,0,8.6625,True,True,False,True,True,False,False,True
0,3,1,28,8,2,69.55,True,False,False,True,True,False,False,True
0,3,1,44,0,1,16.1,True,False,False,True,True,False,False,True
1,2,0,40,0,0,15.75,False,True,False,True,False,True,True,False
0,3,1,26,0,0,7.775,True,True,False,True,True,False,False,True
0,3,1,17,0,0,8.6625,True,True,False,True,True,False,False,True
0,3,1,1,4,1,39.6875,False,False,False,True,False,False,False,True
1,3,1,9,0,2,20.525,False,False,False,True,False,False,False,True
1,1,0,28,0,1,55.0,False,False,False,True,False,True,False,False
0,3,0,45,1,4,27.9,False,False,False,True,False,True,False,True
0,1,1,28,0,0,25.925,True,True,False,True,True,False,False,False
0,3,1,28,0,0,56.4958,True,True,False,True,True,False,False,True
0,1,1,61,0,0,33.5,True,True,False,True,True,False,False,False
0,3,1,4,4,1,29.125,False,False,True,False,False,False,False,True
1,3,0,1,1,1,11.1333,False,False,False,True,False,False,False,True
0,3,1,21,0,0,7.925,True,True,False,True,True,False,False,True
0,1,1,56,0,0,30.6958,True,True,False,False,True,False,False,False
0,3,1,18,1,1,7.8542,True,False,False,True,True,False,False,True
0,3,1,28,3,1,25.4667,True,False,False,True,True,False,False,True
0,1,0,50,0,0,28.7125,False,True,False,False,False,True,False,False
0,2,1,30,0,0,13.0,True,True,False,True,True,False,True,False
0,3,1,36,0,0,0.0,True,True,False,True,True,False,False,True
0,3,0,28,8,2,69.55,False,False,False,True,False,True,False,True
0,2,1,28,0,0,15.05,True,True,False,False,True,False,True,False
0,3,1,9,4,2,31.3875,False,False,False,True,False,False,False,True
1,2,1,1,2,1,39.0,False,False,False,True,False,False,True,False
1,3,0,4,0,2,22.025,False,False,False,True,False,False,False,True
0,1,1,28,0,0,50.0,True,True,False,True,True,False,False,False
1,3,0,28,1,0,15.5,False,False,True,False,False,True,False,True
1,1,1,45,0,0,26.55,True,True,False,True,True,False,False,False
0,3,1,40,1,1,15.5,True,False,True,False,True,False,False,True
0,3,1,36,0,0,7.8958,True,True,False,True,True,False,False,True
1,2,0,32,0,0,13.0,False,True,False,True,False,True,True,False
0,2,1,19,0,0,13.0,True,True,False,True,True,False,True,False
1,3,0,19,1,0,7.8542,False,False,False,True,False,True,False,True
1,2,1,3,1,1,26.0,False,False,False,True,False,False,True,False
1,1,0,44,0,0,27.7208,False,True,False,False,False,True,False,False
1,1,0,58,0,0,146.5208,False,True,False,False,False,True,False,False
0,3,1,28,0,0,7.75,True,True,True,False,True,False,False,True
0,3,1,42,0,1,8.4042,True,False,False,True,True,False,False,True
1,3,0,28,0,0,7.75,False,True,True,False,False,True,False,True
0,2,0,24,0,0,13.0,False,True,False,True,False,True,True,False
0,3,1,28,0,0,9.5,True,True,False,True,True,False,False,True
0,3,1,28,8,2,69.55,True,False,False,True,True,False,False,True
0,3,1,34,0,0,6.4958,True,True,False,True,True,False,False,True
0,3,1,45,0,0,7.225,True,True,False,False,True,False,False,True
1,3,1,18,0,0,8.05,True,True,False,True,True,False,False,True
0,3,0,2,0,1,10.4625,False,False,False,True,False,False,False,True
0,3,1,32,1,0,15.85,True,False,False,True,True,False,False,True
1,3,1,26,0,0,18.7875,True,True,False,False,True,False,False,True
1,3,0,16,0,0,7.75,False,True,True,False,False,True,False,True
1,1,1,40,0,0,31.0,True,True,False,False,True,False,False,False
0,3,1,24,0,0,7.05,True,True,False,True,True,False,False,True
1,2,0,35,0,0,21.0,False,True,False,True,False,True,True,False
0,3,1,22,0,0,7.25,True,True,False,True,True,False,False,True
0,2,1,30,0,0,13.0,True,True,False,True,True,False,True,False
0,3,1,28,1,0,7.75,True,False,True,False,True,False,False,True
1,1,0,31,1,0,113.275,False,False,False,False,False,True,False,False
1,3,0,27,0,0,7.925,False,True,False,True,False,True,False,True
0,2,1,42,1,0,27.0,True,False,False,True,True,False,True,False
1,1,0,32,0,0,76.2917,False,True,False,False,False,True,False,False
0,2,1,30,0,0,10.5,True,True,False,True,True,False,True,False
1,3,1,16,0,0,8.05,True,True,False,True,True,False,False,True
0,2,1,27,0,0,13.0,True,True,False,True,True,False,True,False
0,3,1,51,0,0,8.05,True,True,False,True,True,False,False,True
0,3,1,28,0,0,7.8958,True,True,False,True,True,False,False,True
1,1,1,38,1,0,90.0,True,False,False,True,True,False,False,False
0,3,1,22,0,0,9.35,True,True,False,True,True,False,False,True
1,2,1,19,0,0,10.5,True,True,False,True,True,False,True,False
0,3,1,20,0,0,7.25,True,True,False,True,True,False,False,True
0,2,1,18,0,0,13.0,True,True,False,True,True,False,True,False
0,3,0,28,3,1,25.4667,False,False,False,True,False,True,False,True
1,1,0,35,1,0,83.475,False,False,False,True,False,True,False,False
0,3,1,29,0,0,7.775,True,True,False,True,True,False,False,True
0,2,1,59,0,0,13.5,True,True,False,True,True,False,True,False
1,3,0,5,4,2,31.3875,False,False,False,True,False,False,False,True
0,2,1,24,0,0,10.5,True,True,False,True,True,False,True,False
0,3,0,28,0,0,7.55,False,True,False,True,False,True,False,True
0,2,1,44,1,0,26.0,True,False,False,True,True,False,True,False
1,2,0,8,0,2,26.25,False,False,False,True,False,False,True,False
0,2,1,19,0,0,10.5,True,True,False,True,True,False,True,False
0,2,1,33,0,0,12.275,True,True,False,True,True,False,True,False
0,3,0,28,1,0,14.4542,False,False,False,False,False,True,False,True
1,3,0,28,1,0,15.5,False,False,True,False,False,True,False,True
0,2,1,29,0,0,10.5,True,True,False,True,True,False,True,False
0,3,1,22,0,0,7.125,True,True,False,True,True,False,False,True
0,3,1,30,0,0,7.225,True,True,False,False,True,False,False,True
0,1,1,44,2,0,90.0,True,False,True,False,True,False,False,False
0,3,0,25,0,0,7.775,False,True,False,True,False,True,False,True
1,2,0,24,0,2,14.5,False,False,False,True,False,True,True,False
1,1,1,37,1,1,52.5542,True,False,False,True,True,False,False,False
0,2,1,54,1,0,26.0,True,False,False,True,True,False,True,False
0,3,1,28,0,0,7.25,True,True,False,True,True,False,False,True
0,3,0,29,1,1,10.4625,False,False,False,True,False,True,False,True
0,1,1,62,0,0,26.55,True,True,False,True,True,False,False,False
0,3,1,30,1,0,16.1,True,False,False,True,True,False,False,True
0,3,0,41,0,2,20.2125,False,False,False,True,False,True,False,True
1,3,0,29,0,2,15.2458,False,False,False,False,False,True,False,True
1,1,0,28,0,0,79.2,False,True,False,False,False,True,False,False
1,1,0,30,0,0,86.5,False,True,False,True,False,True,False,False
1,1,0,35,0,0,512.3292,False,True,False,False,False,True,False,False
1,2,0,50,0,1,26.0,False,False,False,True,False,True,True,False
0,3,1,28,0,0,7.75,True,True,True,False,True,False,False,True
1,3,1,3,4,2,31.3875,False,False,False,True,False,False,False,True
0,1,1,52,1,1,79.65,True,False,False,True,True,False,False,False
0,1,1,40,0,0,0.0,True,True,False,True,True,False,False,False
0,3,0,28,0,0,7.75,False,True,True,False,False,True,False,True
0,2,1,36,0,0,10.5,True,True,False,True,True,False,True,False
0,3,1,16,4,1,39.6875,True,False,False,True,True,False,False,True
1,3,1,25,1,0,7.775,True,False,False,True,True,False,False,True
1,1,0,58,0,1,153.4625,False,False,False,True,False,True,False,False
1,1,0,35,0,0,135.6333,False,True,False,True,False,True,False,False
0,1,1,28,0,0,31.0,True,True,False,True,True,False,False,False
1,3,1,25,0,0,0.0,True,True,False,True,True,False,False,True
1,2,0,41,0,1,19.5,False,False,False,True,False,True,True,False
0,1,1,37,0,1,29.7,True,False,False,False,True,False,False,False
1,3,0,28,0,0,7.75,False,True,True,False,False,True,False,True
1,1,0,63,1,0,77.9583,False,False,False,True,False,True,False,False
0,3,0,45,0,0,7.75,False,True,False,True,False,True,False,True
0,2,1,28,0,0,0.0,True,True,False,True,True,False,True,False
0,3,1,7,4,1,29.125,False,False,True,False,False,False,False,True
1,3,0,35,1,1,20.25,False,False,False,True,False,True,False,True
0,3,1,65,0,0,7.75,True,True,True,False,True,False,False,True
0,3,1,28,0,0,7.8542,True,True,False,True,True,False,False,True
0,3,1,16,0,0,9.5,True,True,False,True,True,False,False,True
1,3,1,19,0,0,8.05,True,True,False,True,True,False,False,True
0,1,1,28,0,0,26.0,True,True,False,True,True,False,False,False
0,3,1,33,0,0,8.6625,True,True,False,False,True,False,False,True
1,3,1,30,0,0,9.5,True,True,False,True,True,False,False,True
0,3,1,22,0,0,7.8958,True,True,False,True,True,False,False,True
1,2,1,42,0,0,13.0,True,True,False,True,True,False,True,False
1,3,0,22,0,0,7.75,False,True,True,False,False,True,False,True
1,1,0,26,0,0,78.85,False,True,False,True,False,True,False,False
1,1,0,19,1,0,91.0792,False,False,False,False,False,True,False,False
0,2,1,36,0,0,12.875,True,True,False,False,True,False,True,False
0,3,0,24,0,0,8.85,False,True,False,True,False,True,False,True
0,3,1,24,0,0,7.8958,True,True,False,True,True,False,False,True
0,1,1,28,0,0,27.7208,True,True,False,False,True,False,False,False
0,3,1,23,0,0,7.2292,True,True,False,False,True,False,False,True
0,1,0,2,1,2,151.55,False,False,False,True,False,False,False,False
1,1,1,28,0,0,30.5,True,True,False,True,True,False,False,False
1,1,0,50,0,1,247.5208,False,False,False,False,False,True,False,False
1,3,0,28,0,0,7.75,False,True,True,False,False,True,False,True
1,3,1,28,2,0,23.25,True,False,True,False,True,False,False,True
0,3,1,19,0,0,0.0,True,True,False,True,True,False,False,True
1,2,0,28,0,0,12.35,False,True,True,False,False,True,True,False
0,3,1,28,0,0,8.05,True,True,False,True,True,False,False,True
1,1,1,0,1,2,151.55,False,False,False,True,False,False,False,False
1,1,0,28,0,0,110.8833,False,True,False,False,False,True,False,False
1,1,0,17,1,0,108.9,False,False,False,False,False,True,False,False
0,2,1,30,1,0,24.0,True,False,False,False,True,False,True,False
1,1,0,30,0,0,56.9292,False,True,False,False,False,True,False,False
1,1,0,24,0,0,83.1583,False,True,False,False,False,True,False,False
1,1,0,18,2,2,262.375,False,False,False,False,False,True,False,False
0,2,0,26,1,1,26.0,False,False,False,True,False,True,True,False
0,3,1,28,0,0,7.8958,True,True,False,True,True,False,False,True
0,2,1,43,1,1,26.25,True,False,False,True,True,False,True,False
1,3,0,26,0,0,7.8542,False,True,False,True,False,True,False,True
1,2,0,24,1,0,26.0,False,False,False,True,False,True,True,False
0,2,1,54,0,0,14.0,True,True,False,True,True,False,True,False
1,1,0,31,0,2,164.8667,False,False,False,True,False,True,False,False
1,1,0,40,1,1,134.5,False,False,False,False,False,True,False,False
0,3,1,22,0,0,7.25,True,True,False,True,True,False,False,True
0,3,1,27,0,0,7.8958,True,True,False,True,True,False,False,True
1,2,0,30,0,0,12.35,False,True,True,False,False,True,True,False
1,2,0,22,1,1,29.0,False,False,False,True,False,True,True,False
0,3,1,28,8,2,69.55,True,False,False,True,True,False,False,True
1,1,0,36,0,0,135.6333,False,True,False,False,False,True,False,False
0,3,1,61,0,0,6.2375,True,True,False,True,True,False,False,True
1,2,0,36,0,0,13.0,False,True,False,True,False,True,True,False
1,3,0,31,1,1,20.525,False,False,False,True,False,True,False,True
1,1,0,16,0,1,57.9792,False,False,False,False,False,True,False,False
1,3,0,28,2,0,23.25,False,False,True,False,False,True,False,True
0,1,1,45,0,0,28.5,True,True,False,True,True,False,False,False
0,1,1,38,0,1,153.4625,True,False,False,True,True,False,False,False
0,3,1,16,2,0,18.0,True,False,False,True,True,False,False,True
1,1,0,28,1,0,133.65,False,False,False,True,False,True,False,False
0,3,1,28,0,0,7.8958,True,True,False,True,True,False,False,True
0,1,1,29,1,0,66.6,True,False,False,True,True,False,False,False
1,1,0,41,0,0,134.5,False,True,False,False,False,True,False,False
1,3,1,45,0,0,8.05,True,True,False,True,True,False,False,True
0,1,1,45,0,0,35.5,True,True,False,True,True,False,False,False
1,2,1,2,1,1,26.0,False,False,False,True,False,False,True,False
1,1,0,24,3,2,263.0,False,False,False,True,False,True,False,False
0,2,1,28,0,0,13.0,True,True,False,True,True,False,True,False
0,2,1,25,0,0,13.0,True,True,False,True,True,False,True,False
0,2,1,36,0,0,13.0,True,True,False,True,True,False,True,False
1,2,0,24,0,0,13.0,False,True,False,True,False,True,True,False
1,2,0,40,0,0,13.0,False,True,False,True,False,True,True,False
1,3,0,28,1,0,16.1,False,False,False,True,False,True,False,True
1,3,1,3,1,1,15.9,False,False,False,True,False,False,False,True
0,3,1,42,0,0,8.6625,True,True,False,True,True,False,False,True
0,3,1,23,0,0,9.225,True,True,False,True,True,False,False,True
0,1,1,28,0,0,35.0,True,True,False,True,True,False,False,False
0,3,1,15,1,1,7.2292,False,False,False,False,False,False,False,True
0,3,1,25,1,0,17.8,True,False,False,True,True,False,False,True
